wavelength_nm,importance_psi,importance_delta,importance_total
514,6.137834443809321e-05,0.00016385128029500228,0.0002252296247330955
515,5.293463016217772e-05,3.620289787723254e-05,8.913752803941026e-05
516,1.2266852005717293e-05,2.9038342452278363e-06,1.5170686250945129e-05
517,8.847080578751443e-05,2.0377721914046312e-05,0.00010884852770156074
518,3.404792815648476e-05,4.0589809082274025e-05,7.46377372387588e-05
519,5.7523121795142126e-05,5.490367586018687e-06,6.301348938116081e-05
520,8.54321702902405e-05,2.184152334536258e-05,0.00010727369363560308
521,6.896373828878192e-06,2.4763674780643827e-05,3.166004860952202e-05
522,7.584957913487372e-06,0.00033348417499924794,0.00034106913291273534
523,0.0057215023990846246,0.00013740469208052778,0.005858907091165153
