wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
260,Random Forest,4.3491,1.5737,2.0514,0.3754,1.3261,0.161,0.9845,0.0061
260,MLP,5.3231,3.232,2.1947,0.7117,1.4993,0.4729,0.9815,0.0111
255,Linear Regression,1959.0827,1059.6525,42.9812,10.5687,24.6951,5.1117,-6.1023,4.2667
255,Random Forest,4.2661,1.0719,2.0483,0.2653,1.3704,0.1475,0.985,0.0036
255,MLP,3.4773,0.6658,1.8562,0.1787,1.245,0.2331,0.9877,0.0025
250,Linear Regression,2205.3749,615.0029,46.533,6.3291,25.8876,3.7326,-6.9349,2.6982
250,Random Forest,4.4613,1.3494,2.087,0.3248,1.3527,0.1348,0.9842,0.0051
250,MLP,3.2083,2.1546,1.7005,0.5627,1.131,0.3668,0.9891,0.0063
245,Linear Regression,1801.1667,532.0834,41.997,6.117,23.7741,2.7415,-5.4862,2.2562
245,Random Forest,4.1913,1.3945,2.0214,0.3243,1.3242,0.1285,0.9851,0.0052
245,MLP,3.4136,1.8904,1.782,0.488,1.251,0.3514,0.9878,0.0074
240,Linear Regression,2452.2373,652.948,49.0833,6.5627,26.9781,3.3697,-7.7478,2.669
240,Random Forest,3.8302,0.953,1.9408,0.2518,1.3036,0.1415,0.9865,0.0035
240,MLP,4.6865,4.2552,1.9401,0.9605,1.3418,0.5956,0.9842,0.0133
235,Linear Regression,1982.7314,505.5789,44.1655,5.6693,22.8302,2.9002,-6.0969,2.1626
235,Random Forest,3.9724,0.9345,1.9799,0.2294,1.3144,0.1235,0.9858,0.0037
235,MLP,4.0092,2.78,1.8881,0.6666,1.3383,0.43,0.9864,0.0084
230,Linear Regression,3045.6935,743.9114,54.7765,6.7248,29.3468,3.2535,-9.8073,2.9707
230,Random Forest,4.1418,1.0344,2.0198,0.2498,1.2825,0.0987,0.9852,0.0043
230,MLP,3.2595,0.9338,1.7832,0.2822,1.2645,0.143,0.9886,0.0027
225,Linear Regression,1983.8058,1077.658,42.8291,12.2258,21.7344,5.4933,-6.2613,4.2753
225,Random Forest,4.591,1.0421,2.1297,0.2356,1.3531,0.1458,0.9837,0.004
225,MLP,4.3136,1.7264,2.016,0.4995,1.4864,0.3532,0.985,0.0057
220,Linear Regression,2936.2191,1593.9474,52.2819,14.2414,25.2733,4.4011,-9.6497,6.3328
220,Random Forest,4.1713,1.4282,2.016,0.3271,1.2899,0.0986,0.9852,0.0051
220,MLP,4.2816,1.9638,2.0107,0.4887,1.4525,0.3769,0.9849,0.007
215,Linear Regression,2927.2492,2149.8817,50.932,18.2533,24.3395,9.6828,-9.6868,8.3893
215,Random Forest,4.9504,1.4166,2.2025,0.315,1.403,0.1063,0.9822,0.0059
215,MLP,3.3544,1.4226,1.783,0.4187,1.2403,0.2863,0.9885,0.0041
210,Linear Regression,2263.3495,421.3816,47.3732,4.3734,25.1056,3.162,-7.0618,1.7646
210,Random Forest,3.7165,0.8121,1.9164,0.2092,1.2983,0.0768,0.9868,0.0034
210,MLP,3.273,1.6042,1.7537,0.4445,1.2016,0.3017,0.9886,0.0053
205,Linear Regression,2605.0689,802.3641,50.4538,7.7128,26.3115,3.568,-8.3365,3.3182
205,Random Forest,4.0508,1.0925,1.9938,0.2747,1.3036,0.1205,0.9856,0.0043
205,MLP,3.7703,2.4959,1.8316,0.6447,1.2966,0.4863,0.9865,0.0096
200,Linear Regression,2055.062,781.9789,44.5578,8.3465,23.2202,5.8288,-6.4625,3.3267
200,Random Forest,3.3644,0.6001,1.826,0.1738,1.2396,0.1131,0.9881,0.0022
200,MLP,4.2696,3.39,1.909,0.7909,1.2489,0.4855,0.9847,0.013
195,Linear Regression,2794.498,1326.0273,51.6121,11.4318,24.8251,5.668,-9.0621,5.354
195,Random Forest,3.5865,1.1651,1.8688,0.3067,1.2407,0.1226,0.9872,0.0047
195,MLP,3.2204,1.8537,1.7173,0.5208,1.1633,0.2596,0.989,0.0055
190,Linear Regression,3400.6147,1433.5221,57.0545,12.0579,25.9341,4.3118,-11.3004,5.7387
190,Random Forest,4.341,1.0113,2.0699,0.2375,1.3827,0.103,0.9845,0.0041
190,MLP,3.943,1.8458,1.9253,0.4862,1.3508,0.3427,0.9861,0.0068
185,Linear Regression,3708.19,1223.5236,60.1962,9.1982,28.737,4.6882,-12.3563,5.218
185,Random Forest,3.9617,1.5147,1.9579,0.3585,1.3009,0.1161,0.9858,0.0056
185,MLP,3.1549,1.2847,1.7391,0.3613,1.2143,0.2466,0.9889,0.0044
180,Linear Regression,3567.7411,994.3526,59.1384,8.3901,30.0892,3.4235,-11.8208,4.1238
180,Random Forest,3.8444,1.0237,1.9442,0.2542,1.3205,0.1161,0.9863,0.004
180,MLP,3.7945,1.9439,1.8924,0.462,1.288,0.1896,0.987,0.0054
175,Linear Regression,3306.1926,864.367,57.0126,7.4673,26.7555,5.3454,-10.9674,3.9716
175,Random Forest,4.1491,1.3742,2.0092,0.335,1.3041,0.1413,0.9852,0.0054
175,MLP,4.0569,1.404,1.9856,0.3378,1.3928,0.1693,0.9854,0.0058
170,Linear Regression,4851.6163,1720.6341,68.486,12.7,30.2858,7.22,-16.2513,6.6382
170,Random Forest,4.3391,1.3639,2.0588,0.3171,1.3492,0.1117,0.9845,0.0052
170,MLP,4.3982,1.9018,2.0498,0.4434,1.3981,0.2479,0.9848,0.0053
