wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
210,Linear Regression,2520322.2467,2518876.2899,1387.0158,772.3401,552.1039,316.3562,-9480.2319,9820.4744
210,Random Forest,3.6316,0.9916,1.8882,0.2574,1.1561,0.0654,0.987,0.004
210,MLP,2.5464,0.9617,1.568,0.2963,1.0494,0.1591,0.9911,0.0032
205,Linear Regression,7212088.3798,10219013.6755,2159.4917,1596.4598,878.669,689.5432,-27042.6376,39574.1654
205,Random Forest,3.7861,1.1634,1.9233,0.2949,1.1713,0.1031,0.9864,0.0046
205,MLP,3.1471,1.3367,1.7261,0.4097,1.1973,0.3493,0.9889,0.0048
200,Linear Regression,3415338.9651,2180624.0008,1723.0371,668.1932,620.1676,217.0025,-12558.1551,8382.5973
200,Random Forest,3.1425,1.0701,1.7436,0.3202,1.1134,0.1203,0.9888,0.004
200,MLP,4.0508,2.7064,1.9212,0.5997,1.2635,0.383,0.9853,0.0107
195,Linear Regression,9639883.6475,9836798.6037,2710.261,1514.7174,1057.5846,617.6308,-36112.7459,38105.4955
195,Random Forest,3.1342,0.9024,1.7515,0.2575,1.1245,0.1041,0.9888,0.0035
195,MLP,2.9913,1.8272,1.6466,0.5291,1.1163,0.3224,0.9898,0.0054
190,Linear Regression,11268929.5898,10588459.0704,2951.1403,1599.9065,1079.6922,597.1108,-41923.1023,41440.7834
190,Random Forest,2.8996,0.8138,1.6859,0.2397,1.0719,0.1139,0.9896,0.0033
190,MLP,2.8518,1.0878,1.657,0.326,1.1454,0.2066,0.99,0.0038
185,Linear Regression,7777536.0703,4149162.2418,2657.9871,844.1806,912.0824,264.2452,-27907.5973,16005.9356
185,Random Forest,2.9406,0.7975,1.6981,0.239,1.0849,0.1017,0.9895,0.0032
185,MLP,2.7502,0.7437,1.6413,0.2373,1.1563,0.1566,0.9903,0.0024
180,Linear Regression,9125857.9059,11328886.6431,2538.4074,1637.7868,898.6402,633.1355,-34062.1113,43940.0914
180,Random Forest,3.0761,0.8798,1.7373,0.2403,1.093,0.0815,0.989,0.0034
180,MLP,3.2054,2.343,1.6981,0.5673,1.109,0.2656,0.9892,0.0067
175,Linear Regression,13318786.5165,9813504.8272,3316.6372,1522.7292,1139.8642,549.5671,-49245.473,38215.7414
175,Random Forest,2.8529,0.8241,1.6711,0.2457,1.0721,0.1061,0.9898,0.0032
175,MLP,3.4212,0.6395,1.8413,0.1752,1.2632,0.093,0.9879,0.0025
170,Linear Regression,11405928.0945,8498667.016,3128.8484,1271.3127,941.7152,443.272,-41257.7779,30035.1083
170,Random Forest,3.3903,0.9799,1.8216,0.2684,1.1438,0.1135,0.9879,0.004
170,MLP,4.2817,1.8693,2.0205,0.4462,1.3528,0.2625,0.9852,0.0052
165,Linear Regression,39597842.9903,54161686.0529,4986.0374,3838.9157,1662.6185,1312.7084,-150104.0953,209339.6315
165,Random Forest,2.9976,0.6513,1.722,0.1799,1.0994,0.0348,0.9893,0.0026
165,MLP,2.6192,1.2792,1.5598,0.4316,1.0419,0.225,0.9908,0.0045
160,Linear Regression,25079516.5719,16688034.2308,4771.3755,1521.017,1235.2947,409.5392,-89721.1696,58411.3668
160,Random Forest,3.3116,0.8053,1.8068,0.2172,1.1144,0.0522,0.9882,0.0031
160,MLP,3.3422,1.7765,1.7724,0.4482,1.1899,0.2675,0.9885,0.0051
155,Linear Regression,52219527.5831,53523313.121,6515.0765,3126.2286,1829.3353,957.5776,-193572.9824,208957.8391
155,Random Forest,3.2661,0.833,1.7926,0.2297,1.0946,0.0442,0.9883,0.0035
155,MLP,2.8981,0.9444,1.6774,0.2907,1.1099,0.1358,0.9899,0.003
150,Linear Regression,88142265.7267,28899913.4866,9270.9205,1480.6411,2489.7993,669.0274,-315342.8914,107153.5379
150,Random Forest,3.0461,1.193,1.7162,0.3171,1.1064,0.0755,0.9892,0.0044
150,MLP,2.9528,1.2875,1.6726,0.3939,1.1866,0.2136,0.9898,0.0039
145,Linear Regression,171249442.3443,143822182.8615,11413.5371,6401.6102,3146.1446,2040.2669,-643864.292,557581.2164
145,Random Forest,2.8697,1.066,1.6674,0.2989,1.065,0.0728,0.9897,0.004
145,MLP,3.6832,1.3394,1.8773,0.3987,1.295,0.2791,0.987,0.0048
140,Linear Regression,96329891.7009,104632560.7151,8673.2388,4593.9982,1961.3052,726.1762,-341274.9591,372684.5563
140,Random Forest,3.2976,1.1323,1.7893,0.3099,1.1109,0.0603,0.9881,0.0044
140,MLP,2.7995,1.6299,1.6087,0.4598,1.0393,0.2478,0.9905,0.0046
135,Linear Regression,2039798596.8192,2684283359.6062,35669.7079,27703.2586,8750.4682,7325.863,-7445099.7032,10322740.8704
135,Random Forest,3.4979,1.1233,1.8467,0.2961,1.113,0.0685,0.9874,0.0044
135,MLP,2.9422,1.6556,1.636,0.5154,1.0118,0.2506,0.9898,0.0056
130,Linear Regression,4172723675.525,5723461889.346,48097.9219,43119.7586,10945.1994,8647.3963,-13259154.5877,17406874.7318
130,Random Forest,3.5813,0.916,1.877,0.2414,1.1456,0.0939,0.9871,0.004
130,MLP,3.6155,1.3499,1.8694,0.3477,1.3036,0.2465,0.9874,0.0041
125,Linear Regression,3187434771.8502,4525923893.6559,42845.1145,36765.8937,8737.2379,6972.8373,-10217202.7419,13647374.9015
125,Random Forest,3.3025,0.8011,1.8043,0.2167,1.1124,0.071,0.9882,0.0033
125,MLP,5.6878,2.4975,2.3286,0.5151,1.6041,0.2579,0.9799,0.0092
120,Linear Regression,292019727275.1186,566079668729.7533,292631.5495,454297.8137,43454.1119,58798.3784,-1114377145.41,2172613460.8742
120,Random Forest,3.2387,1.2318,1.767,0.3414,1.0873,0.0623,0.9883,0.0048
120,MLP,4.0319,2.5564,1.91,0.6196,1.2639,0.2846,0.9862,0.0075
115,Linear Regression,388420401714.4872,616574732949.8512,416473.8963,463648.4611,70526.4939,63230.8495,-1447667010.296,2373641455.4309
115,Random Forest,3.477,1.3715,1.8274,0.3708,1.1137,0.0759,0.9875,0.0053
115,MLP,3.3645,1.7892,1.7725,0.4719,1.0736,0.1419,0.9879,0.0071
110,Linear Regression,38270071765.1544,72694444486.488,116002.768,157522.7907,19076.113,20507.5905,-146287356.2763,278908338.6751
110,Random Forest,3.2769,1.1077,1.784,0.3067,1.0917,0.0716,0.9882,0.0044
110,MLP,2.954,1.85,1.6275,0.5524,1.1111,0.2989,0.9897,0.0064
105,Linear Regression,261848467640.5507,514380405985.4144,271991.6308,433438.6005,39028.1992,54932.7173,-1003201009.2416,1972345385.6508
105,Random Forest,3.5398,1.2294,1.8504,0.3404,1.1311,0.0799,0.9872,0.005
105,MLP,3.2447,1.3642,1.7523,0.4171,1.2242,0.2805,0.9886,0.0048
100,Linear Regression,29019068967.1581,46320671753.0355,110581.5955,129579.241,32115.3231,37004.8549,-92365004.1075,140824727.3711
100,Random Forest,3.2808,0.985,1.7924,0.2611,1.0957,0.0436,0.9882,0.0038
100,MLP,2.3085,0.7758,1.4972,0.2587,1.006,0.17,0.9919,0.0025
