wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
165,MLP,2.433,1.0373,1.5181,0.3583,1.0575,0.1967,0.9915,0.0036
160,Linear Regression,20420537.5279,11340506.9016,4312.8649,1348.9752,1368.2552,386.2117,-73171.7618,40357.2839
160,Random Forest,3.3103,0.8405,1.8057,0.223,1.1261,0.0834,0.9883,0.0031
160,MLP,3.1859,1.03,1.7626,0.2816,1.2058,0.1947,0.9888,0.0031
155,Linear Regression,35302417.1364,23748599.2916,5614.2124,1945.0029,1800.2572,754.4712,-130059.6021,94932.8245
155,Random Forest,3.3738,0.7452,1.8257,0.2011,1.1166,0.0466,0.9879,0.0032
155,MLP,2.6965,1.1853,1.6065,0.3402,1.0842,0.2103,0.9905,0.004
150,Linear Regression,175172906.7405,76568587.7427,12892.6507,2992.0671,3419.6761,1184.4008,-627232.6119,285173.194
150,Random Forest,3.5898,1.1395,1.8734,0.2833,1.154,0.0711,0.9871,0.0043
150,MLP,2.8254,1.2022,1.6238,0.4345,1.1542,0.2696,0.9902,0.0038
145,Linear Regression,63142562.2909,62326348.8438,7186.3284,3391.0539,1672.4145,613.0176,-233757.9649,242527.661
145,Random Forest,3.3589,1.2022,1.8056,0.3145,1.1102,0.0759,0.9879,0.0046
145,MLP,3.8154,1.3338,1.9155,0.3823,1.3187,0.2853,0.9864,0.0052
140,Linear Regression,828824013.8752,1013715412.8183,24233.3217,15542.5266,5782.5114,4822.2013,-2667287.7973,3032090.4406
140,Random Forest,3.5664,1.0038,1.8703,0.2614,1.1419,0.053,0.9872,0.004
140,MLP,2.8323,1.6425,1.6176,0.4644,1.0457,0.2235,0.9903,0.0048
135,Linear Regression,998000429.4827,690136413.9553,29378.8852,11613.8509,7071.0745,2279.6035,-3406606.0377,2127558.8189
135,Random Forest,3.6773,1.3115,1.8901,0.3241,1.1389,0.0813,0.9868,0.005
135,MLP,2.8879,1.5131,1.6208,0.5108,1.0325,0.3207,0.9899,0.0054
130,Linear Regression,5051263091.3736,5089320632.302,59869.7268,38299.8552,13955.2215,9702.509,-19123768.7833,19746364.4042
130,Random Forest,3.6717,1.1022,1.8941,0.2902,1.1539,0.081,0.9868,0.0046
130,MLP,3.0909,1.6664,1.6902,0.4837,1.1406,0.2162,0.9892,0.0056
125,Linear Regression,111889942263.2481,217703096271.7493,188780.7973,276137.1993,35402.5013,49460.8509,-427742647.046,835223638.1276
125,Random Forest,3.5512,1.1313,1.8629,0.2842,1.1229,0.0645,0.9873,0.0043
