wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
175,Random Forest,4.6345,1.1627,2.1346,0.2791,1.3105,0.0478,0.9833,0.0049
175,MLP,3.5869,0.9796,1.8764,0.257,1.3743,0.1564,0.9872,0.0039
170,Linear Regression,1821.1776,545.1545,42.0696,7.1644,19.2055,3.2443,-5.4979,2.1313
170,Random Forest,4.837,2.1189,2.1468,0.4779,1.2464,0.1119,0.9825,0.0083
170,MLP,4.5895,1.3263,2.1212,0.3,1.4624,0.1523,0.984,0.0035
165,Linear Regression,2220.8479,977.2224,45.9306,10.5465,20.8515,6.2382,-6.8236,3.3496
165,Random Forest,5.63,1.8213,2.3397,0.3948,1.3825,0.1134,0.9796,0.0074
165,MLP,3.5305,1.2915,1.8388,0.3864,1.2575,0.2265,0.9876,0.0045
160,Linear Regression,1512.0234,952.8256,36.8991,12.2672,17.3154,3.761,-4.5213,3.6832
160,Random Forest,5.1983,1.4237,2.2592,0.3068,1.3331,0.1128,0.9815,0.0054
160,MLP,4.3911,1.8427,2.0479,0.444,1.4166,0.3084,0.9845,0.0062
155,Linear Regression,752.3714,702.1617,25.0948,11.0735,13.1569,4.4954,-1.7986,2.7473
155,Random Forest,4.5623,1.3017,2.1122,0.318,1.2608,0.0603,0.9835,0.0055
155,MLP,3.1538,0.8017,1.758,0.2516,1.2373,0.1668,0.9889,0.0027
150,Linear Regression,769.8843,405.4467,26.3176,8.7902,12.7858,3.0828,-1.7997,1.5701
150,Random Forest,4.4694,1.2645,2.0895,0.3216,1.3245,0.1271,0.9842,0.0047
150,MLP,3.3098,1.2341,1.7764,0.3925,1.2754,0.2276,0.9884,0.0042
145,Linear Regression,1748.5199,631.2831,41.2092,7.0937,17.9546,2.5926,-5.2856,2.6187
145,Random Forest,3.8723,1.2316,1.9405,0.3268,1.2707,0.1623,0.9862,0.0049
145,MLP,3.0913,0.5753,1.7505,0.1643,1.2679,0.0934,0.9891,0.0021
140,Linear Regression,993.8967,727.4258,28.8027,12.818,13.394,4.0092,-2.7191,2.846
140,Random Forest,4.4522,1.4826,2.0818,0.3439,1.2992,0.1118,0.9842,0.0054
140,MLP,3.827,1.3736,1.9252,0.3475,1.3097,0.1945,0.9867,0.0038
135,Linear Regression,2825.4522,702.405,52.7821,6.2848,20.8883,2.3052,-8.8701,1.6892
135,Random Forest,4.544,1.8758,2.084,0.448,1.3021,0.1358,0.9837,0.0071
135,MLP,4.1205,2.2368,1.9401,0.597,1.2741,0.3014,0.9856,0.0077
130,Linear Regression,2619.5773,1945.9332,48.2559,17.0571,23.8371,7.4533,-8.5729,7.657
130,Random Forest,4.0067,1.096,1.9816,0.2827,1.225,0.1526,0.9857,0.0043
130,MLP,4.5138,1.5411,2.0915,0.3735,1.4911,0.2122,0.984,0.0056
125,Linear Regression,2328.891,1286.2469,46.2106,13.9095,22.704,4.1764,-7.1063,4.2549
125,Random Forest,3.6806,1.1016,1.8956,0.2951,1.2692,0.1322,0.9869,0.0043
125,MLP,4.7989,1.9621,2.138,0.4772,1.4565,0.2891,0.9829,0.0075
120,Linear Regression,6457.8681,5250.2751,74.6997,29.6282,43.1622,22.283,-22.6601,20.5563
120,Random Forest,3.8685,1.1373,1.9427,0.3074,1.2341,0.1431,0.9862,0.0045
120,MLP,4.3622,2.3797,2.0125,0.5587,1.407,0.2533,0.985,0.007
115,Linear Regression,2148.5863,1777.0598,43.1084,17.0368,19.8215,5.2854,-6.9014,6.9493
115,Random Forest,3.857,1.181,1.9395,0.3087,1.2519,0.1481,0.9863,0.0047
115,MLP,4.2585,2.5479,1.9873,0.5561,1.2964,0.2433,0.9846,0.0102
110,Linear Regression,753.5644,827.7439,24.0222,13.2852,13.0664,5.6379,-1.7807,3.2137
110,Random Forest,4.1907,1.1804,2.028,0.2789,1.2995,0.064,0.985,0.0045
110,MLP,3.5434,1.2912,1.849,0.353,1.2939,0.148,0.9876,0.0041
105,Linear Regression,979.864,833.8542,27.5254,14.9069,11.2844,3.1039,-2.3074,2.6391
105,Random Forest,3.5795,1.1634,1.8634,0.3277,1.1703,0.1474,0.9873,0.0046
105,MLP,3.6088,1.5269,1.863,0.3716,1.3194,0.2841,0.9872,0.0054
100,Linear Regression,400.6502,249.7378,18.9658,6.3991,9.3033,1.8666,-0.479,0.9815
100,Random Forest,3.7823,1.4594,1.9053,0.3901,1.2321,0.2036,0.9866,0.0058
100,MLP,4.4861,2.104,2.0698,0.4494,1.4161,0.222,0.9845,0.0058
95,Linear Regression,625.1138,212.4528,24.6682,4.0735,10.3472,2.1428,-1.2389,0.8695
95,Random Forest,3.9796,0.7262,1.9868,0.1799,1.2962,0.0846,0.9859,0.0027
95,MLP,3.1851,0.6867,1.7734,0.2006,1.2203,0.0608,0.9889,0.0018
90,Linear Regression,659.9502,322.0941,25.0051,5.8903,9.4602,1.7893,-1.3908,1.2915
90,Random Forest,4.0329,1.4005,1.9795,0.3386,1.2345,0.1137,0.9855,0.0054
90,MLP,3.9285,1.6729,1.933,0.4382,1.4146,0.3228,0.9864,0.005
85,Linear Regression,290.6262,202.1957,15.9167,6.1062,7.4925,1.6772,-0.0118,0.7036
85,Random Forest,5.3987,2.1639,2.2834,0.43,1.3501,0.0958,0.9807,0.008
85,MLP,6.1113,5.2141,2.3024,0.9002,1.5878,0.5173,0.9797,0.0151
80,Linear Regression,454.314,228.2027,20.5061,5.8151,8.0077,1.8453,-0.6185,0.8707
80,Random Forest,4.555,1.5679,2.0991,0.3856,1.2553,0.1084,0.9835,0.0064
80,MLP,4.4528,2.4243,2.0322,0.5682,1.4041,0.3437,0.9843,0.0085
75,Linear Regression,313.7973,207.4397,16.787,5.6563,7.341,1.8633,-0.0818,0.6416
75,Random Forest,3.2069,1.0108,1.7668,0.2922,1.1765,0.1605,0.9886,0.0038
75,MLP,4.4003,1.3183,2.0734,0.3182,1.4636,0.2002,0.9845,0.0049
70,Linear Regression,334.4703,122.0284,17.9569,3.4671,6.6766,1.1405,-0.1856,0.4557
70,Random Forest,4.0185,1.2961,1.979,0.3197,1.2211,0.1191,0.9856,0.0053
70,MLP,5.028,2.7283,2.1625,0.5931,1.4454,0.2876,0.9826,0.0085
