wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
220,Random Forest,3.8113,0.5096,1.9476,0.1339,1.3027,0.0804,0.9865,0.0018
220,MLP,3.7429,2.2957,1.8468,0.5763,1.322,0.4814,0.9868,0.0085
215,Linear Regression,2929.6245,1588.0364,52.4904,13.2055,28.5373,9.4123,-9.5702,6.3484
215,Random Forest,4.2851,0.5202,2.0664,0.1222,1.3538,0.0611,0.9847,0.0028
215,MLP,2.3608,0.6699,1.5198,0.2258,1.0215,0.1295,0.9918,0.0018
210,Linear Regression,2147.3876,1403.1628,44.4443,13.1182,22.6097,5.2223,-6.8601,5.5967
210,Random Forest,3.6207,0.3296,1.9009,0.0855,1.2855,0.0759,0.9872,0.0015
210,MLP,2.8905,0.9344,1.6786,0.2695,1.1571,0.1595,0.9899,0.0027
205,Linear Regression,3953.1862,2459.6559,60.3651,17.5852,30.4546,8.055,-13.3059,9.7744
205,Random Forest,3.9382,0.961,1.9698,0.241,1.3022,0.0677,0.986,0.0038
205,MLP,3.288,1.2766,1.7718,0.3855,1.2364,0.2895,0.9884,0.0046
200,Linear Regression,2834.9088,684.2317,52.8375,6.5657,27.2015,4.4398,-9.0934,2.7855
200,Random Forest,3.2927,0.8448,1.7966,0.2547,1.2297,0.1353,0.9884,0.003
200,MLP,4.5015,2.8875,2.024,0.6365,1.3668,0.4138,0.9836,0.0115
195,Linear Regression,4027.2571,1653.2866,62.0862,13.1361,31.9369,5.3051,-13.4505,5.9101
195,Random Forest,3.7429,1.1369,1.9104,0.3056,1.2662,0.1456,0.9867,0.0045
195,MLP,3.0897,1.7971,1.6847,0.5015,1.1477,0.269,0.9895,0.0052
190,Linear Regression,3957.7623,2125.4958,60.3161,17.881,28.2313,8.799,-13.1181,8.2728
190,Random Forest,3.4417,0.587,1.8479,0.164,1.2736,0.096,0.9878,0.0022
190,MLP,2.7957,0.8943,1.6492,0.2757,1.1288,0.1551,0.9902,0.0027
185,Linear Regression,4501.9334,1054.9572,66.645,7.7703,30.8291,3.2332,-14.9621,3.814
185,Random Forest,3.3333,0.8087,1.8115,0.2277,1.2591,0.1329,0.9882,0.0032
185,MLP,2.7369,1.0155,1.6212,0.3296,1.1384,0.2447,0.9903,0.0038
180,Linear Regression,5258.3569,2651.4174,70.2155,18.1148,31.0336,7.3437,-17.9682,10.4495
180,Random Forest,3.4917,1.0555,1.8429,0.3088,1.2128,0.1538,0.9876,0.004
180,MLP,2.9293,2.1315,1.6181,0.5577,1.0777,0.2887,0.9901,0.0062
175,Linear Regression,3133.8139,972.6,55.3235,8.5512,26.5245,3.4718,-10.2594,3.9535
175,Random Forest,3.4281,0.905,1.833,0.2614,1.2516,0.151,0.9879,0.0034
175,MLP,3.5742,0.8474,1.8777,0.2199,1.3234,0.0902,0.9873,0.0035
170,Linear Regression,5484.9447,2884.8125,71.306,20.0101,31.3811,6.123,-18.6566,10.7953
170,Random Forest,3.4539,0.6661,1.8482,0.1952,1.2738,0.1452,0.9878,0.0023
170,MLP,4.1655,2.0907,1.9841,0.4784,1.3152,0.276,0.9857,0.0058
