wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
295,Random Forest,3.1974,0.7168,1.7766,0.2026,1.1941,0.0929,0.9886,0.0028
295,MLP,2.1775,0.6667,1.4582,0.2264,1.0001,0.1427,0.9924,0.0018
290,Linear Regression,2089.1816,741.8462,44.9181,8.4582,25.5099,5.5201,-6.6106,3.1163
290,Random Forest,3.8388,1.3762,1.9276,0.3508,1.2565,0.1357,0.9862,0.0055
290,MLP,2.8063,1.7395,1.6097,0.4639,1.0361,0.2642,0.9905,0.0049
285,Linear Regression,1731.4514,1012.1235,40.1386,10.97,23.7194,5.0264,-5.2974,4.0515
285,Random Forest,3.7446,1.0342,1.9168,0.2655,1.2508,0.0793,0.9866,0.0041
285,MLP,3.9565,2.4985,1.8704,0.6769,1.2655,0.5053,0.9861,0.0092
280,Linear Regression,2000.4289,683.0354,44.0525,7.7335,24.1886,3.5205,-6.2676,2.8844
280,Random Forest,3.7857,0.5139,1.9413,0.1311,1.2881,0.0922,0.9865,0.0023
280,MLP,4.4006,1.9385,2.0311,0.5244,1.4575,0.3688,0.9846,0.0069
275,Linear Regression,3274.4347,1510.8536,55.5308,13.8116,28.6435,4.5124,-10.8329,5.8668
275,Random Forest,4.1728,1.3504,2.0163,0.3275,1.2965,0.124,0.985,0.0055
275,MLP,3.7306,1.3316,1.9014,0.3393,1.2693,0.2547,0.9867,0.0052
270,Linear Regression,3049.7666,1320.2023,53.8376,12.2995,30.5035,6.0037,-10.0037,5.1615
270,Random Forest,4.14,1.009,2.0183,0.2578,1.2897,0.0484,0.9851,0.0044
270,MLP,3.2752,1.1402,1.7812,0.3201,1.202,0.1575,0.9886,0.0033
265,Linear Regression,2597.8736,1060.008,49.766,11.0097,28.1911,5.8786,-8.516,4.3966
265,Random Forest,4.3109,1.3211,2.0495,0.3321,1.2514,0.0707,0.9844,0.0054
265,MLP,3.3608,1.1793,1.8024,0.3347,1.2391,0.2271,0.9882,0.004
260,Linear Regression,2259.5605,424.9936,47.309,4.6277,27.549,1.983,-7.0798,1.7594
260,Random Forest,4.6415,1.1954,2.1376,0.2688,1.3014,0.0698,0.9834,0.0048
260,MLP,3.7335,2.4121,1.838,0.5961,1.2513,0.4355,0.9867,0.0091
255,Linear Regression,2413.4449,1438.8993,47.2485,13.4547,26.1843,6.4917,-7.7846,5.6981
255,Random Forest,4.6125,1.5887,2.1199,0.3443,1.3457,0.091,0.9835,0.006
255,MLP,2.2724,1.0561,1.4709,0.33,0.9926,0.1925,0.9922,0.0028
250,Linear Regression,2001.9502,966.2799,43.4591,10.6421,24.3344,5.4766,-6.2672,3.8448
250,Random Forest,4.4898,1.2649,2.0999,0.2835,1.3297,0.0524,0.984,0.0049
250,MLP,2.2174,0.8547,1.4607,0.2893,0.9713,0.1095,0.9922,0.003
245,Linear Regression,2734.813,1990.6391,49.5384,16.7558,27.2286,6.8811,-9.0141,7.8637
245,Random Forest,4.5126,1.5222,2.0961,0.345,1.3084,0.0688,0.9838,0.0059
245,MLP,3.0477,1.3268,1.706,0.3702,1.1828,0.1999,0.9892,0.0049
240,Linear Regression,3066.5844,1226.2204,54.0644,11.9844,29.3353,5.8967,-10.1766,4.9398
240,Random Forest,4.1345,1.3396,2.0047,0.3403,1.3068,0.1199,0.985,0.0054
240,MLP,3.4782,3.5119,1.6928,0.7826,1.1564,0.4071,0.9885,0.0103
235,Linear Regression,2648.7614,1003.3191,50.5084,9.8825,26.9231,4.5526,-8.5083,3.7485
235,Random Forest,4.1918,1.189,2.0265,0.2917,1.2676,0.0693,0.9849,0.0049
235,MLP,3.6992,1.8913,1.8426,0.5513,1.3178,0.3669,0.9872,0.0062
230,Linear Regression,3109.5298,961.3829,55.0137,9.1115,30.2835,4.4468,-10.2103,3.8395
230,Random Forest,4.3065,1.1905,2.0558,0.2829,1.3004,0.0778,0.9845,0.0048
230,MLP,3.2573,1.1168,1.7668,0.3683,1.262,0.2599,0.9886,0.0038
225,Linear Regression,2971.2541,1814.4381,52.5315,14.5498,27.2322,6.6224,-9.7479,7.2282
225,Random Forest,4.2083,1.2196,2.031,0.2885,1.2666,0.085,0.9849,0.0048
225,MLP,3.4187,1.3055,1.807,0.392,1.3146,0.291,0.9881,0.0044
220,Linear Regression,2961.9265,1074.2702,53.6595,9.0877,29.3623,4.4811,-9.7187,4.5408
220,Random Forest,3.6381,1.4298,1.8734,0.3586,1.227,0.1273,0.987,0.0054
220,MLP,3.4231,2.3724,1.7294,0.6573,1.2453,0.4515,0.988,0.0084
215,Linear Regression,3106.339,1232.4995,54.6983,10.6975,29.2993,7.0054,-10.2587,5.064
215,Random Forest,3.3628,0.7681,1.8222,0.2055,1.2474,0.091,0.988,0.0032
215,MLP,2.0984,0.61,1.4327,0.2143,0.9959,0.1439,0.9927,0.0019
210,Linear Regression,2173.6328,675.488,46.0381,7.3569,23.2973,3.6661,-6.6647,2.3131
210,Random Forest,3.8428,0.8863,1.9478,0.2215,1.285,0.0731,0.9862,0.0039
210,MLP,3.5089,1.0457,1.8517,0.2832,1.2734,0.186,0.9878,0.0029
205,Linear Regression,2475.1017,932.5128,48.9614,8.8252,25.2359,3.7151,-7.9606,3.9456
205,Random Forest,3.5749,0.8846,1.8768,0.2289,1.2407,0.0456,0.9872,0.0036
205,MLP,3.1837,1.3853,1.7404,0.3934,1.2183,0.3244,0.9887,0.005
200,Linear Regression,4627.219,1647.9694,66.9703,11.9245,32.6575,6.7004,-15.6998,6.6969
